Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
Medium Volume,Guest,Home And Garden,12805910,438003.61,167895,76.27,25-11-2015 00:00
Very High Volume,New,Clothing And Shoes,1495435,47569.2,3660,408.59,28-07-2015 00:00
Very Low Volume,Low Engaged,Clothing And Shoes,640574,22329.31,7556,84.78,02-12-2015 00:00
Non Merchant,Super Engaged,Books,565356591,22042661.35,13104033,43.14,20-05-2015 00:00
Low Volume,Casual Buyer,Books,84329476,3392303.02,2253647,37.42,12-05-2015 00:00
Inactive Merchant,Getting Engaged,Home And Garden,261,23.75,87,3,19-02-2015 00:00
Medium Volume,Guest,"Movies, Music And Games",201099,3920.34,5962,33.73,07-09-2015 00:00
Inactive Merchant,New,Automotive,130,4.07,8,16.25,22-03-2015 00:00
Very Low Volume,Getting Engaged,Automotive,29041,946.8,540,53.78,08-08-2015 00:00
Very High Volume,Getting Engaged,Clothing And Shoes,2516729,74855.55,6176,407.5,12-02-2015 00:00
High Volume,Medium Engaged,Clothing And Shoes,15375752,527196.61,52518,292.77,12-09-2015 00:00
Inactive Merchant,Very Engaged,Home And Garden,80,3.21,38,2.1,25-02-2015 00:00
Very High Volume,Casual Buyer,Automotive,56469,1383.85,987,57.21,19-05-2015 00:00
Unverified Merchant,Casual Buyer,Digital Games And Software,218,9.02,9,24.2,26-04-2015 00:00
New,Getting Engaged,Digital Games And Software,15808337,563562.88,304929,51.84,28-07-2015 00:00
Low Volume,Merchant,Sports And Outdoors,42034248,1375936.37,193116,217.66,25-09-2015 00:00
Medium Volume,Low Engaged,Other,245633,7334.25,13819,17.78,20-10-2015 00:00
Low Volume,Merchant,"Toys, Kids And Baby",42082133,199841.27,556047,75.68,21-11-2015 00:00
Very Low Volume,Medium Engaged,Clothing And Shoes,480297,17144.23,5899,81.42,01-09-2015 00:00
New,Casual Buyer,"Movies, Music And Games",5056689,147517.8,20002,252.81,22-10-2015 00:00
Inactive Merchant,Getting Engaged,Automotive,500,14.8,14,35.71,09-12-2015 00:00
Unverified Merchant,Guest,Sports And Outdoors,3050,88.75,1,3050,06-01-2015 00:00
High Volume,Very Engaged,Automotive,306141,9908.63,6393,47.89,23-05-2015 00:00
Low Volume,Medium Engaged,Sports And Outdoors,16138333,581348.73,140258,115.06,11-05-2015 00:00
Very High Volume,Guest,Clothing And Shoes,1565228,37643.79,4284,365.37,01-06-2015 00:00
New,Merchant,Home And Garden,3017934,74222.6,32978,91.51,28-03-2015 00:00
Inactive Merchant,Guest,Sports And Outdoors,1704,64.92,94,18.12,19-03-2015 00:00
Low Volume,Very Engaged,Clothing And Shoes,6245459,226439.67,56216,111.1,13-11-2015 00:00
Non Merchant,New,Automotive,624793,18577.82,10949,57.06,05-02-2015 00:00
Low Volume,Low Engaged,Electronics And Computers,1362533,53821.13,35234,38.67,21-12-2015 00:00
Medium Volume,Getting Engaged,Digital Games And Software,174744314,6537145.53,3035077,57.57,03-01-2015 00:00
Very Low Volume,Medium Engaged,Automotive,21764,816.35,523,41.61,17-12-2015 00:00
Inactive Merchant,Guest,Grocery,3497,111.43,110,31.79,13-04-2015 00:00
Unverified Merchant,Merchant,Clothing And Shoes,180,5.82,2,90,15-07-2015 00:00
Non Merchant,Guest,Electronics And Computers,25,1.32,2,12.47,06-06-2015 00:00
Inactive Merchant,Very Engaged,Digital Games And Software,3955,185.84,306,12.92,10-06-2015 00:00
Low Volume,Very Engaged,Books,289279902,12970959.84,10950317,26.42,11-12-2015 00:00
New,Low Engaged,Other,2001,44.63,110,18.19,20-10-2015 00:00
Very High Volume,Super Engaged,Sports And Outdoors,3115468,91489.85,9717,320.62,02-02-2015 00:00
Very High Volume,Medium Engaged,Automotive,199613,5131.02,3556,56.13,06-03-2015 00:00
Inactive Merchant,Casual Buyer,Books,26564,525.64,311,85.42,02-10-2015 00:00
Inactive Merchant,Merchant,Digital Games And Software,7525,237.27,1594,4.72,03-11-2015 00:00
Inactive Merchant,Medium Engaged,Home And Garden,668,21.35,50,13.35,15-05-2015 00:00
New,Getting Engaged,Books,27853514,1076026.56,536752,51.89,14-11-2015 00:00
High Volume,Casual Buyer,Books,315712781,10535731.09,3815389,82.75,20-08-2015 00:00
Very High Volume,Guest,Electronics And Computers,25598,739.07,9786,2.62,14-08-2015 00:00
Unverified Merchant,Guest,Books,554,35.19,4,138.59,07-05-2015 00:00
Very High Volume,Super Engaged,Other,15531858,508037.22,944438,16.45,04-09-2015 00:00
High Volume,New,Other,320726,13129.11,37476,8.56,14-06-2015 00:00
High Volume,New,Electronics And Computers,8275110,287824.72,132224,62.58,10-02-2015 00:00
New,Very Engaged,Digital Games And Software,3943563,151522.82,95197,41.43,22-11-2015 00:00
High Volume,Casual Buyer,"Movies, Music And Games",16728946,583956.33,87470,191.25,16-10-2015 00:00
High Volume,New,Home And Garden,26183420,899164.39,502156,52.14,22-09-2015 00:00
Medium Volume,Casual Buyer,Electronics And Computers,2823883,106999.24,55956,50.47,02-05-2015 00:00
Very High Volume,One-And-Done,Sports And Outdoors,1047417,30004.6,2412,434.25,13-04-2015 00:00
Low Volume,Medium Engaged,Books,313858563,13824976.63,11355188,27.64,02-10-2015 00:00
Non Merchant,Guest,Digital Games And Software,73103,4678.18,11501,6.36,07-01-2015 00:00
New,Very Engaged,Electronics And Computers,181813,6522.36,3484,52.19,07-05-2015 00:00
Very Low Volume,Merchant,Sports And Outdoors,2099004,69315.69,18789,111.71,25-03-2015 00:00
New,Guest,Other,0,0,2,0,10-05-2015 00:00
Very High Volume,New,Digital Games And Software,60727693,2161039.64,1184274,51.28,04-06-2015 00:00
Inactive Merchant,Super Engaged,Books,15813,558.32,432,36.6,16-01-2015 00:00
Non Merchant,New,Digital Games And Software,16147258,649404.49,353509,45.68,14-12-2015 00:00
High Volume,Guest,Digital Games And Software,369134,11482.33,66629,5.54,05-03-2015 00:00
Very High Volume,Casual Buyer,Electronics And Computers,14750729,401648.41,235592,62.61,18-07-2015 00:00
Low Volume,Medium Engaged,Electronics And Computers,1129160,45057.06,29243,38.61,08-12-2015 00:00
Very High Volume,Low Engaged,"Movies, Music And Games",8237191,274105.18,48975,168.19,18-09-2015 00:00
Very Low Volume,Super Engaged,Clothing And Shoes,161829,6107.94,2681,60.36,26-11-2015 00:00
Inactive Merchant,New,"Movies, Music And Games",22948,566.48,923,24.86,03-06-2015 00:00
Non Merchant,Super Engaged,Clothing And Shoes,5390754,185275.73,41880,128.72,28-07-2015 00:00
Very High Volume,Merchant,Sports And Outdoors,39187233,1083549.45,35667,1098.7,02-12-2015 00:00
Inactive Merchant,Very Engaged,Sports And Outdoors,582,121.05,21,27.71,01-07-2015 00:00
Medium Volume,Very Engaged,"Movies, Music And Games",69322308,2431845.31,414406,167.28,03-08-2015 00:00
Very Low Volume,One-And-Done,"Movies, Music And Games",1216407,41249.5,13202,92.14,19-06-2015 00:00
High Volume,Getting Engaged,Electronics And Computers,22861896,745919.31,387386,59.02,19-07-2015 00:00
Inactive Merchant,Guest,"Movies, Music And Games",0,0,344,0,23-07-2015 00:00
Non Merchant,Merchant,Digital Games And Software,17182401,638520.18,423502,40.57,14-11-2015 00:00
High Volume,Merchant,Sports And Outdoors,114651020,3425412.17,165979,690.76,04-05-2015 00:00
Medium Volume,New,Digital Games And Software,96548710,3724477.39,1528363,63.17,01-07-2015 00:00
Very Low Volume,Casual Buyer,Automotive,14634,501.41,208,70.35,06-06-2015 00:00
High Volume,Guest,Digital Games And Software,349885626,11215628.87,3964841,88.25,15-10-2015 00:00
Non Merchant,Guest,Automotive,4053,96.53,204,19.87,12-12-2015 00:00
Very Low Volume,Super Engaged,Digital Games And Software,1293401,58479.41,67822,19.07,14-02-2015 00:00
New,Guest,Sports And Outdoors,33232,319.85,228,145.76,08-02-2015 00:00
Very High Volume,Casual Buyer,Other,7089010,219254.78,407328,17.4,19-07-2015 00:00
Very High Volume,Guest,Sports And Outdoors,384215,11873.28,2086,184.19,17-07-2015 00:00
Low Volume,Merchant,Digital Games And Software,58030372,2262353.61,1402997,41.36,13-02-2015 00:00
Very Low Volume,Casual Buyer,Digital Games And Software,4888078,190147.94,145091,33.69,24-05-2015 00:00
New,Guest,"Movies, Music And Games",27351,909.41,1119,24.44,08-06-2015 00:00
Inactive Merchant,Getting Engaged,Books,21088,1017.5,684,30.83,25-06-2015 00:00
Unverified Merchant,Getting Engaged,Sports And Outdoors,26,1.05,1,26,03-03-2015 00:00
New,Guest,Automotive,0,0,8,0,21-09-2015 00:00
Medium Volume,Guest,Home And Garden,16832,587.56,3444,4.89,17-02-2015 00:00
Inactive Merchant,Getting Engaged,Clothing And Shoes,6405,104.2,22,291.14,07-09-2015 00:00
Very High Volume,Super Engaged,Books,147309311,4271446.72,2376882,61.98,12-06-2015 00:00
Very Low Volume,Low Engaged,"Movies, Music And Games",4298742,150752.26,60040,71.6,27-12-2015 00:00
Inactive Merchant,One-And-Done,Clothing And Shoes,24734,46.63,26,951.3,27-11-2015 00:00
Very High Volume,Very Engaged,Automotive,107196,2824.85,2061,52.01,08-03-2015 00:00
Very High Volume,Guest,"Movies, Music And Games",11720,487.64,1074,10.91,05-02-2015 00:00
New,Low Engaged,Automotive,34110,1367.38,956,35.68,07-05-2015 00:00
High Volume,Very Engaged,"Movies, Music And Games",28118127,1019449.95,166712,168.66,20-03-2015 00:00
Very Low Volume,Merchant,Clothing And Shoes,1242824,40539.29,11211,110.86,25-03-2015 00:00
High Volume,New,Clothing And Shoes,7600890,276544.22,21757,349.35,03-11-2015 00:00
High Volume,Merchant,Digital Games And Software,167671933,5848551.89,2305193,72.74,25-03-2015 00:00
Very High Volume,Merchant,Digital Games And Software,153241349,4501130.54,1726716,88.75,16-11-2015 00:00
Very Low Volume,Getting Engaged,Books,8091582,308873.13,197638,40.94,25-08-2015 00:00
Inactive Merchant,Medium Engaged,Automotive,0,0,5,0,25-10-2015 00:00
Medium Volume,Low Engaged,Electronics And Computers,5963930,224921.54,123607,48.25,15-10-2015 00:00
Very High Volume,Guest,Clothing And Shoes,11763,120.99,55,213.88,19-11-2015 00:00
Medium Volume,Merchant,Clothing And Shoes,67259673,2084813.48,136954,491.11,21-11-2015 00:00
New,New,Home And Garden,2775126,76087.3,38468,72.14,11-10-2015 00:00
New,Casual Buyer,Home And Garden,3956165,99604.29,49823,79.4,11-11-2015 00:00
Non Merchant,Merchant,Sports And Outdoors,68414830,1977533.79,267628,255.63,15-03-2015 00:00
Non Merchant,Casual Buyer,"Movies, Music And Games",133971676,3777393.06,836508,160.16,16-02-2015 00:00
New,Merchant,"Movies, Music And Games",29545349,707044.36,72889,405.35,21-08-2015 00:00
Very Low Volume,Guest,Sports And Outdoors,2608612,85383.69,21598,120.78,26-05-2015 00:00
Low Volume,One-And-Done,Automotive,14957,545.43,326,45.88,19-05-2015 00:00
Very Low Volume,Guest,Clothing And Shoes,1997274,65079.11,15560,128.36,12-01-2015 00:00
Low Volume,One-And-Done,Electronics And Computers,155002,6066.75,3804,40.75,03-09-2015 00:00
Very Low Volume,Guest,Digital Games And Software,24374557,890221.47,566766,43.01,15-05-2015 00:00
Non Merchant,Guest,Sports And Outdoors,191675,6151.02,3361,57.03,02-08-2015 00:00
Very Low Volume,Casual Buyer,Books,3518286,127579.81,69741,50.45,12-01-2015 00:00
Low Volume,One-And-Done,Home And Garden,1079338,40389.38,19439,55.52,03-05-2015 00:00
Very High Volume,Casual Buyer,Clothing And Shoes,1404709,40708.27,3341,420.45,28-11-2015 00:00
Non Merchant,New,"Movies, Music And Games",104211816,3182650.35,816252,127.67,20-02-2015 00:00
Medium Volume,Guest,"Movies, Music And Games",11746,268.19,6185,1.9,17-10-2015 00:00
Non Merchant,Medium Engaged,Sports And Outdoors,33561486,1070538.59,213416,157.26,15-07-2015 00:00
Very Low Volume,Low Engaged,Automotive,22784,801.28,550,41.43,18-10-2015 00:00
Non Merchant,Guest,Books,1594346,46865.09,57376,27.79,02-12-2015 00:00
Very High Volume,Super Engaged,Electronics And Computers,7036025,209495.63,141540,49.71,26-08-2015 00:00
Medium Volume,Medium Engaged,Sports And Outdoors,38496729,1387113.61,210618,182.78,21-10-2015 00:00
Very High Volume,Merchant,Other,56158343,1606473.4,2424968,23.16,11-04-2015 00:00
High Volume,Very Engaged,Electronics And Computers,10971348,359985.63,193492,56.7,16-10-2015 00:00
New,Casual Buyer,Books,12345499,462354.29,198589,62.17,05-09-2015 00:00
High Volume,Low Engaged,Home And Garden,69117747,2166257,1283946,53.83,15-01-2015 00:00
Low Volume,Getting Engaged,Books,214766066,9023558.45,6686268,32.12,26-02-2015 00:00
Medium Volume,Merchant,"Movies, Music And Games",427470304,11721982.77,1053121,405.91,23-06-2015 00:00
Very High Volume,Very Engaged,Sports And Outdoors,5234585,156583.72,16303,321.08,17-02-2015 00:00
Inactive Merchant,One-And-Done,Sports And Outdoors,29,90.52,40,0.74,06-11-2015 00:00
Very High Volume,Casual Buyer,Sports And Outdoors,3770555,116445.06,12330,305.8,08-01-2015 00:00
Inactive Merchant,One-And-Done,"Movies, Music And Games",9323,311.86,333,28,15-12-2015 00:00
Low Volume,Casual Buyer,Clothing And Shoes,14780448,476350.38,57437,257.33,17-08-2015 00:00
Very High Volume,Guest,Other,1882,42.98,170,11.07,20-09-2015 00:00
High Volume,Super Engaged,Clothing And Shoes,7526056,265495.39,28472,264.33,12-03-2015 00:00
Very High Volume,Casual Buyer,"Movies, Music And Games",3902116,124447.33,20801,187.59,10-06-2015 00:00
Medium Volume,One-And-Done,Home And Garden,2692034,97915.51,42399,63.49,14-07-2015 00:00
Medium Volume,Medium Engaged,Books,720185742,28895430.76,14903286,48.32,22-06-2015 00:00
Very High Volume,Guest,Automotive,181,4.34,56,3.24,02-10-2015 00:00
High Volume,Casual Buyer,Clothing And Shoes,8870246,293850.27,23765,373.25,21-11-2015 00:00
Unverified Merchant,Super Engaged,"Movies, Music And Games",1280,18.1,28,45.7,03-06-2015 00:00
Unverified Merchant,Very Engaged,"Movies, Music And Games",5999,112.41,36,166.64,04-06-2015 00:00
Very High Volume,Super Engaged,Clothing And Shoes,1120872,34147.98,2906,385.71,22-09-2015 00:00
Very High Volume,Very Engaged,Home And Garden,172914184,3832385.79,2412002,71.69,10-07-2015 00:00
Very Low Volume,Medium Engaged,Digital Games And Software,3673786,155744.49,142260,25.82,24-05-2015 00:00
Inactive Merchant,Super Engaged,Clothing And Shoes,27,1.07,1,26.69,20-11-2015 00:00
Very Low Volume,Guest,Grocery,2809124,98117.17,36789,76.36,11-03-2015 00:00
Medium Volume,Merchant,Home And Garden,11260699,403412.82,170925,65.88,19-02-2015 00:00
Medium Volume,Low Engaged,Sports And Outdoors,40524713,1424496.29,200193,202.43,05-11-2015 00:00
New,Casual Buyer,Digital Games And Software,11777399,402888.89,187099,62.95,10-06-2015 00:00
Low Volume,Guest,"Movies, Music And Games",155343,4029.39,6473,24,23-11-2015 00:00
Medium Volume,Getting Engaged,Other,256017,7348.89,14060,18.21,13-11-2015 00:00
Very Low Volume,Super Engaged,Sports And Outdoors,266357,10462.73,7195,37.02,20-03-2015 00:00
High Volume,Low Engaged,"Movies, Music And Games",37701803,1318089.33,208281,181.01,03-12-2015 00:00
Low Volume,Casual Buyer,Digital Games And Software,66875405,2431506.81,1242477,53.82,18-05-2015 00:00
Very High Volume,Guest,Books,42614559,1125787.84,425533,100.14,21-07-2015 00:00
Non Merchant,Guest,Digital Games And Software,62215645,2202486.09,938033,66.33,27-06-2015 00:00
High Volume,Super Engaged,Digital Games And Software,50692285,1918090.76,1035698,48.95,22-03-2015 00:00
New,Very Engaged,Other,639,15.95,55,11.61,27-12-2015 00:00
Low Volume,Guest,Clothing And Shoes,26769324,842721.74,94871,282.17,22-12-2015 00:00
Low Volume,New,Digital Games And Software,66156097,2521791.21,1263919,52.34,03-09-2015 00:00
Inactive Merchant,Super Engaged,"Movies, Music And Games",-3368,87.09,235,-14.33,22-11-2015 00:00
Unverified Merchant,Low Engaged,Digital Games And Software,291,11.62,11,26.46,17-07-2015 00:00
Medium Volume,Very Engaged,Books,619739905,25239932.55,13374358,46.34,01-06-2015 00:00
Non Merchant,Casual Buyer,Automotive,520983,14555.69,5861,88.89,10-06-2015 00:00
Inactive Merchant,Casual Buyer,Automotive,579,22.34,7,82.71,07-03-2015 00:00
Low Volume,Merchant,Other,9925,284.83,523,18.98,25-06-2015 00:00
High Volume,Very Engaged,Digital Games And Software,86660703,3245546.4,1748120,49.57,07-08-2015 00:00
High Volume,New,Sports And Outdoors,13171261,491363.97,61077,215.65,05-04-2015 00:00
Very Low Volume,New,Sports And Outdoors,1367163,47712.64,12116,112.84,03-03-2015 00:00
Low Volume,Merchant,"Movies, Music And Games",159335068,5089373.63,990427,160.88,28-05-2015 00:00
Unverified Merchant,Casual Buyer,Sports And Outdoors,194,5.93,1,194,17-02-2015 00:00
Medium Volume,Merchant,Other,174478,7626.8,10921,15.98,27-09-2015 00:00
Low Volume,Very Engaged,Digital Games And Software,34248703,1425202.76,991792,34.53,17-12-2015 00:00
New,Low Engaged,Home And Garden,8042102,200078.03,108383,74.2,22-01-2015 00:00
Low Volume,Guest,Electronics And Computers,1181,66.65,548,2.16,25-06-2015 00:00
Medium Volume,New,Home And Garden,9966580,376949.27,165677,60.16,05-10-2015 00:00
High Volume,Merchant,Other,1942790,67974.8,100155,19.4,13-10-2015 00:00
Very Low Volume,Low Engaged,Electronics And Computers,47699,1971.72,1979,24.1,06-03-2015 00:00
Non Merchant,Casual Buyer,Books,268945182,9192062.34,3034936,88.62,27-03-2015 00:00
Very High Volume,Casual Buyer,Home And Garden,142724207,3023193.59,1772332,80.53,25-12-2015 00:00
Very High Volume,Guest,Other,576,195.52,35497,0.02,26-10-2015 00:00
Non Merchant,Guest,Clothing And Shoes,65912,1486.9,714,92.31,24-03-2015 00:00
Very Low Volume,Low Engaged,Digital Games And Software,5106578,211895.07,186641,27.36,02-08-2015 00:00
Medium Volume,Very Engaged,Home And Garden,10663529,383082.6,185191,57.58,12-07-2015 00:00
Low Volume,Super Engaged,Electronics And Computers,402945,16048.13,10284,39.18,24-11-2015 00:00
Very Low Volume,Guest,Electronics And Computers,5,0.45,156,0.03,15-04-2015 00:00
Very Low Volume,Guest,Books,840985,31266.15,19698,42.69,10-10-2015 00:00
Inactive Merchant,Medium Engaged,"Movies, Music And Games",26959,515.7,464,58.1,26-12-2015 00:00
New,Guest,Clothing And Shoes,5080682,157009.09,15832,320.91,08-08-2015 00:00
Inactive Merchant,Super Engaged,Sports And Outdoors,140,9.34,4,34.91,08-09-2015 00:00
Very Low Volume,Medium Engaged,"Movies, Music And Games",3511406,126670.49,54455,64.48,26-05-2015 00:00
Inactive Merchant,Medium Engaged,Digital Games And Software,2737,280.76,593,4.62,27-08-2015 00:00
Inactive Merchant,Very Engaged,Clothing And Shoes,80,4.66,5,15.97,12-04-2015 00:00
Inactive Merchant,Merchant,Other,0,0,2,0,19-11-2015 00:00
High Volume,Medium Engaged,Home And Garden,55986465,1775476.34,1063337,52.65,15-08-2015 00:00
Medium Volume,Super Engaged,Home And Garden,5609831,202739.43,95413,58.8,25-05-2015 00:00
Low Volume,Very Engaged,Sports And Outdoors,11435832,423434.09,117553,97.28,17-07-2015 00:00
Very Low Volume,Getting Engaged,Electronics And Computers,56863,2309.31,3284,17.32,14-09-2015 00:00
Low Volume,Medium Engaged,Digital Games And Software,58679616,2360992.45,1545288,37.97,27-03-2015 00:00
Medium Volume,Guest,Digital Games And Software,468072420,15784288.05,5054077,92.61,26-04-2015 00:00
New,Casual Buyer,Clothing And Shoes,2949899,89541.72,7412,397.99,05-10-2015 00:00
